CONTROL,JJOBCOMP,JJOBCOMPYR,JJOBCOST,JJOBDIY,JJOBFUNDS,JJOBTYPE,JJOBWORKYR,JOBTYPE,JOBDIY,JOBCOST,JOBCOMP,JOBCOMPYR,JOBWORKYR,JOBFUNDS
'11019954','0','0','2','0','0','0','0','16','2',950,'1','1','-6','1'
'11019954','0','0','2','0','0','0','0','24','2',50,'1','1','-6','7'
'11019955','0','0','0','0','0','0','0','12','2',6000,'2','-6','2','1'
'11019955','0','0','0','0','0','0','0','13','2',18000,'1','2','-6','1'
'11019955','0','0','2','0','0','0','0','22','2',3200,'1','2','-6','1'
'11019955','0','0','2','0','0','0','0','24','1',1600,'1','2','-6','1'
'11019955','0','0','2','0','0','0','0','25','2',13200,'1','2','-6','1'
'11019955','0','0','2','0','0','0','0','26','2',8000,'1','2','-6','7'
'11019955','0','0','2','0','0','0','0','30','1',2000,'1','2','-6','1'
'11019955','0','0','2','0','0','0','0','31','2',8000,'1','2','-6','1'
'11019956','0','0','0','0','0','0','0','26','2',2900,'1','1','-6','4'
'11019956','0','0','0','0','0','0','0','27','2',2900,'1','1','-6','4'
'11019956','0','0','0','0','0','0','0','29','2',1200,'1','3','-6','1'
'11019959','0','0','0','0','0','0','0','22','2',200,'1','3','-6','1'
'11019959','0','0','0','0','0','0','0','30','1',120,'1','3','-6','1'
'11019962','0','0','0','0','0','0','0','26','2',80,'1','3','-6','7'
'11019970','0','0','0','0','0','0','0','12','2',4500,'1','2','-6','5'
'11019970','0','0','0','0','0','0','0','16','2',300,'1','3','-6','5'
'11019970','0','0','2','0','0','0','0','29','2',1000,'1','2','-6','1'
'11019972','0','0','0','0','0','0','0','25','1',600,'2','-6','3','1'
'11019972','0','0','0','0','0','0','0','29','2',80,'1','3','-6','4'
'11019980','0','0','0','0','0','0','0','21','1',300,'1','3','-6','1'
'11019980','0','0','2','0','0','0','0','29','2',1300,'1','2','-6','1'
'11019981','0','0','0','0','0','0','0','13','1',250,'1','3','-6','1'
'11019981','0','0','0','0','0','0','0','25','1',300,'1','3','-6','1'
'11019986','0','0','0','0','0','0','0','14','2',3400,'1','3','-6','1'
'11019994','0','0','0','0','0','0','0','26','2',4500,'1','3','-6','1'
'11019994','0','0','0','0','0','0','0','27','2',4500,'1','3','-6','1'
'11019994','0','0','0','0','0','0','0','30','1',100,'1','2','-6','1'
'11019996','0','0','0','0','0','0','0','12','2',15000,'1','2','-6','4'
'11019996','0','0','0','0','0','0','0','16','2',10000,'1','2','-6','4'
'11019996','0','0','0','0','0','0','0','22','2',5000,'1','2','-6','4'
'11019996','0','0','0','0','0','0','0','25','2',3000,'1','2','-6','4'
'11020000','0','0','0','0','0','0','0','26','2',24700,'1','2','-6','1'
'11020000','0','0','0','0','0','0','0','33','2',5000,'1','3','-6','1'
'11020000','0','0','0','0','0','0','0','36','2',3500,'1','1','-6','1'
'11020006','0','0','0','0','0','0','0','12','2',1000,'1','2','-6','2'
'11020009','0','0','0','0','0','0','0','12','1',5000,'1','3','-6','1'
'11020009','0','0','0','0','0','0','0','26','2',7500,'1','3','-6','5'
'11020011','0','0','0','0','0','0','0','24','1',150,'1','2','-6','1'
'11020013','0','0','0','0','0','0','0','16','2',11000,'1','3','-6','7'
'11020013','0','0','0','0','0','0','0','29','2',1000,'1','1','-6','1'
'11020013','0','0','0','0','0','0','0','36','2',2000,'1','2','-6','1'
'11020019','0','0','0','0','0','0','0','17','1',300,'1','3','-6','1'
'11020019','0','0','0','0','0','0','0','26','2',5000,'1','3','-6','1'
'11020019','0','0','0','0','0','0','0','27','2',0,'1','3','-6','1'
'11020031','0','0','0','0','0','0','0','24','2',200,'1','1','-6','1'
'11020032','0','0','0','0','0','0','0','29','2',200,'1','2','-6','5'
'11020041','0','0','0','0','0','0','0','30','1',100,'1','3','-6','1'
'11020043','0','0','0','0','0','0','0','12','2',1000,'1','2','-6','1'
'11020043','0','0','0','0','0','0','0','18','2',300,'1','1','-6','1'
'11020043','0','0','0','0','0','0','0','22','2',500,'1','2','-6','1'
'11020044','0','0','0','0','0','0','0','13','2',3000,'1','2','-6','1'
'11020044','0','0','0','0','0','0','0','17','1',300,'1','2','-6','1'
'11020064','0','0','0','0','0','0','0','33','1',200,'1','3','-6','1'
'11020066','0','0','0','0','0','0','0','30','1',500,'1','2','-6','1'
'11020069','0','0','2','0','0','0','0','16','2',11200,'1','3','-6','1'
'11020069','0','0','2','0','0','0','0','29','2',1200,'1','2','-6','1'
'11020069','0','0','2','0','0','0','0','32','2',4300,'1','2','-6','1'
'11020069','0','0','2','0','0','0','0','36','2',2200,'1','2','-6','1'
'11020079','0','0','0','0','0','0','0','25','2',1000,'1','3','-6','1'
'11020079','0','0','0','0','0','0','0','29','2',600,'1','3','-6','1'
'11020079','0','0','0','0','0','0','0','30','1',100,'1','3','-6','1'
'11020083','0','0','0','0','0','0','0','13','1',3000,'1','1','-6','1'
'11020083','0','0','0','0','0','0','0','18','1',900,'1','2','-6','1'
'11020084','0','0','0','0','0','0','0','22','1',20,'1','2','-6','1'
'11020084','0','0','0','0','0','0','0','23','2',70,'1','2','-6','1'
'11020084','0','0','0','0','0','0','0','26','2',6000,'1','1','-6','1'
'11020084','0','0','0','0','0','0','0','27','2',0,'1','1','-6','7'
'11020086','0','0','0','0','0','0','0','18','2',1800,'1','2','-6','5'
'11020086','0','0','0','0','0','0','0','20','2',900,'1','2','-6','1'
'11020086','0','0','0','0','0','0','0','30','1',80,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','15','2',1500,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','16','1',5400,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','22','2',1700,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','25','1',350,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','32','2',1500,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','36','2',1500,'1','2','-6','1'
'11020087','0','0','0','0','0','0','0','06','2',5400,'1','2','-6','1'
'11020100','0','0','0','0','0','0','0','16','2',200,'1','3','-6','1'
'11020106','0','0','0','0','0','0','0','12','2',6500,'2','-6','3','1'
'11020111','0','0','0','0','0','0','0','33','2',2000,'1','3','-6','1'
'11020112','0','0','0','0','0','0','0','22','2',2000,'1','1','-6','1'
'11020112','0','0','0','0','0','0','0','30','2',100,'1','1','-6','1'
'11020120','0','0','0','0','0','0','0','26','2',8000,'1','2','-6','1'
'11020123','0','0','2','0','0','0','0','26','2',5800,'1','3','-6','-9'
'11020127','0','0','0','0','0','0','0','15','2',60000,'1','3','-6','1'
'11020127','0','0','0','0','0','0','0','29','2',1200,'1','1','-6','1'
'11020127','0','0','0','0','0','0','0','30','2',1000,'1','2','-6','1'
'11020127','0','0','0','0','0','0','0','36','2',5000,'1','2','-6','1'
'11020135','0','0','0','0','0','0','0','16','2',7000,'1','2','-6','4'
'11020135','0','0','0','0','0','0','0','26','2',1500,'1','3','-6','7'
'11020135','0','0','0','0','0','0','0','29','1',1000,'1','3','-6','5'
'11020145','0','0','0','0','0','0','0','26','2',1000,'1','2','-6','1'
'11020151','0','0','0','0','0','0','0','21','2',2000,'1','1','-6','1'
'11020151','0','0','0','0','0','0','0','24','2',500,'1','2','-6','1'
'11020151','0','0','0','0','0','0','0','36','2',2000,'1','2','-6','1'
'11020157','0','0','0','0','0','0','0','26','2',9000,'1','3','-6','7'
'11020157','0','0','0','0','0','0','0','36','2',2000,'1','2','-6','7'
'11020159','0','0','0','0','0','0','0','20','2',300,'1','3','-6','1'
'11020159','0','0','0','0','0','0','0','21','2',0,'1','3','-6','1'
'11020159','0','0','0','0','0','0','0','26','2',5900,'1','3','-6','1'
'11020161','0','0','0','0','0','0','0','29','1',700,'1','3','-6','1'
'11020164','0','0','2','0','0','0','0','12','1',20000,'1','3','-6','1'
'11020164','0','0','2','0','0','0','0','22','1',3000,'1','3','-6','1'
'11020164','0','0','2','0','0','0','0','36','1',7000,'1','3','-6','1'
'11020167','0','0','0','0','0','0','0','29','1',490,'1','3','-6','1'
'11020172','0','0','0','0','0','0','0','12','2',8000,'1','2','-6','1'
'11020172','0','0','0','0','0','0','0','18','2',2400,'1','3','-6','1'
'11020172','0','0','0','0','0','0','0','22','2',1000,'1','2','-6','1'
'11020172','0','0','0','0','0','0','0','23','2',1000,'1','3','-6','1'
'11020172','0','0','0','0','0','0','0','30','1',800,'1','3','-6','1'
'11020172','0','0','0','0','0','0','0','34','2',8500,'1','3','-6','1'
'11020179','0','0','0','0','0','0','0','30','2',1200,'1','2','-6','1'
'11020187','0','0','0','0','0','0','0','12','2',300,'1','3','-6','1'
'11020187','0','0','0','0','0','0','0','22','2',300,'1','3','-6','1'
'11020187','0','0','0','0','0','0','0','25','2',2000,'1','3','-6','1'
'11020187','0','0','0','0','0','0','0','26','2',0,'1','3','-6','7'
'11020188','0','0','0','0','0','0','0','22','1',60,'1','2','-6','1'
'11020188','0','0','0','0','0','0','0','30','2',600,'1','2','-6','1'
'11020188','0','0','0','0','0','0','0','36','2',1000,'1','1','-6','1'
'11020191','0','0','0','0','0','0','0','32','1',500,'1','3','-6','1'
'11020197','0','0','0','0','0','0','0','15','2',0,'1','3','-6','1'
'11020197','0','0','0','0','0','0','0','29','2',650,'1','3','-6','1'
'11020197','0','0','0','0','0','0','0','30','1',680,'2','-6','3','1'
'11020203','0','0','0','0','0','0','0','12','2',3500,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','15','2',83000,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','16','2',11000,'1','1','-6','1'
'11020203','0','0','0','0','0','0','0','18','2',18800,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','25','2',6000,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','32','2',5000,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','33','2',5000,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','34','2',1000,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','35','2',500,'1','2','-6','1'
'11020203','0','0','0','0','0','0','0','36','2',500,'1','2','-6','1'
'11020204','0','0','0','0','0','0','0','12','2',8000,'1','3','-6','1'
'11020204','0','0','0','0','0','0','0','13','2',10000,'1','1','-6','1'
'11020204','0','0','0','0','0','0','0','22','1',8000,'1','3','-6','1'
'11020204','0','0','2','0','0','0','0','24','2',420,'1','1','-6','1'
'11020204','0','0','0','0','0','0','0','25','2',6500,'1','1','-6','1'
'11020204','0','0','0','0','0','0','0','29','2',300,'1','1','-6','1'
'11020209','0','0','0','0','0','0','0','30','2',750,'1','1','-6','1'
'11020209','0','0','0','0','0','0','0','31','1',4500,'1','3','-6','5'
'11020210','0','0','0','0','0','0','0','18','1',350,'1','1','-6','1'
'11020210','0','0','0','0','0','0','0','22','1',20,'1','3','-6','1'
'11020210','0','0','0','0','0','0','0','23','1',250,'1','3','-6','1'
'11020211','0','0','2','0','0','0','0','13','2',10800,'1','3','-6','1'
'11020211','0','0','0','0','0','0','0','22','1',0,'1','2','-6','7'
'11020211','0','0','2','0','0','0','0','25','2',3600,'1','2','-6','1'
'11020215','0','0','0','0','0','0','0','27','2',6000,'1','3','-6','1'
'11020215','0','0','0','0','0','0','0','29','1',1500,'1','3','-6','1'
'11020217','0','0','0','0','0','0','0','26','2',0,'1','3','-6','7'
'11020217','0','0','0','0','0','0','0','06','2',11000,'1','3','-6','4'
'11020219','0','0','0','0','0','0','0','23','2',400,'1','2','-6','1'
'11020221','0','0','0','0','0','0','0','29','2',550,'1','2','-6','1'
'11020226','0','0','0','0','0','0','0','15','2',1200,'1','3','-6','1'
'11020229','0','0','0','0','0','0','0','27','1',600,'1','2','-6','1'
'11020229','0','0','0','0','0','0','0','29','1',600,'1','2','-6','1'
'11020235','0','0','2','0','0','0','0','26','2',4400,'1','1','-6','1'
'11020235','0','0','2','0','0','0','0','37','2',2600,'1','1','-6','1'
'11020252','0','0','2','0','0','0','0','11','2',12000,'1','3','-6','1'
'11020252','0','0','0','0','0','0','0','14','2',8500,'2','-6','3','1'
'11020252','0','0','0','0','0','0','0','15','1',1200,'1','3','-6','1'
'11020265','0','0','0','0','0','0','0','25','1',500,'1','1','-6','1'
'11020270','0','0','0','0','0','0','0','36','2',1500,'1','2','-6','1'
'11020271','0','0','0','0','0','0','0','22','2',400,'1','3','-6','1'
'11020275','0','0','0','0','0','0','0','29','1',500,'1','3','-6','1'
'11020280','0','0','0','0','0','0','0','22','1',300,'1','3','-6','1'
'11020280','0','0','0','0','0','0','0','36','2',3500,'1','3','-6','1'
'11020284','0','0','0','0','0','0','0','25','2',4000,'1','3','-6','5'
'11020284','0','0','0','0','0','0','0','30','1',300,'1','2','-6','1'
'11020284','0','0','0','0','0','0','0','32','1',0,'1','3','-6','1'
'11020284','0','0','0','0','0','0','0','33','2',500,'1','3','-6','1'
'11020284','0','0','0','0','0','0','0','35','1',49800,'1','3','-6','3'
'11020290','0','0','0','0','0','0','0','26','2',2000,'1','1','-6','1'
'11020298','0','0','0','0','0','0','0','36','1',120,'1','2','-6','5'
'11020307','0','0','2','0','0','0','0','16','2',7500,'1','3','-6','1'
'11020312','0','0','0','0','0','0','0','23','2',150,'1','3','-6','1'
'11020312','0','0','0','0','0','0','0','29','2',400,'1','1','-6','1'
'11020322','0','0','0','0','0','0','0','12','2',3000,'1','3','-6','1'
'11020322','0','0','0','0','0','0','0','22','2',300,'2','-6','3','1'
'11020322','0','0','0','0','0','0','0','25','2',10000,'1','3','-6','1'
'11020322','0','0','0','0','0','0','0','26','2',4500,'1','3','-6','1'
'11020328','0','0','0','0','0','0','0','30','2',100,'1','2','-6','1'
'11020336','0','0','0','0','0','0','0','26','2',3000,'1','2','-6','1'
'11020336','0','0','0','0','0','0','0','27','2',3000,'1','2','-6','1'
'11020340','0','0','2','0','0','0','0','16','1',2500,'2','-6','3','1'
'11020340','0','0','2','0','0','0','0','25','1',830,'2','-6','3','1'
'11020341','0','0','0','0','0','0','0','18','1',2000,'1','3','-6','2'
'11020341','0','0','0','0','0','0','0','21','1',400,'1','2','-6','1'
'11020341','0','0','0','0','0','0','0','23','1',200,'1','2','-6','1'
'11020341','0','0','0','0','0','0','0','25','2',850,'1','3','-6','2'
'11020341','0','0','0','0','0','0','0','27','2',4000,'1','3','-6','2'
'11020341','0','0','0','0','0','0','0','29','1',2300,'1','3','-6','2'
'11020341','0','0','0','0','0','0','0','30','1',650,'1','3','-6','2'
'11020341','0','0','0','0','0','0','0','32','2',1500,'1','3','-6','2'
'11020356','0','0','0','0','0','0','0','29','1',550,'1','3','-6','1'
'11020367','0','0','0','0','0','0','0','25','1',300,'1','3','-6','1'
'11020368','0','0','0','0','0','0','0','08','2',12000,'1','2','-6','3'
'11020368','0','0','0','0','0','0','0','33','2',2000,'1','2','-6','1'
'11020371','0','0','0','0','0','0','0','18','2',11000,'1','2','-6','1'
'11020372','0','0','0','0','0','0','0','29','2',1200,'1','3','-6','5'
'11020376','0','0','0','0','0','0','0','33','1',200,'1','3','-6','5'
'11020376','0','0','0','0','0','0','0','06','2',5400,'1','3','-6','5'
'11020384','0','0','0','0','0','0','0','12','1',300,'1','2','-6','1'
'11020384','0','0','0','0','0','0','0','13','2',6000,'1','3','-6','1'
'11020384','0','0','0','0','0','0','0','15','1',5000,'1','2','-6','1'
'11020384','0','0','0','0','0','0','0','22','1',300,'1','2','-6','1'
'11020384','0','0','0','0','0','0','0','25','2',4500,'1','2','-6','1'
'11020384','0','0','0','0','0','0','0','30','2',250,'1','3','-6','1'
'11020384','0','0','0','0','0','0','0','32','1',800,'1','2','-6','1'
'11020384','0','0','0','0','0','0','0','31','2',6000,'1','3','-6','1'
'11020387','0','0','0','0','0','0','0','13','2',22000,'1','2','-6','1'
'11020387','0','0','0','0','0','0','0','22','2',700,'1','2','-6','1'
'11020387','0','0','0','0','0','0','0','23','2',500,'1','3','-6','1'
'11020387','0','0','0','0','0','0','0','25','2',1000,'1','2','-6','1'
'11020387','0','0','0','0','0','0','0','30','2',600,'1','2','-6','1'
'11020393','0','0','0','0','0','0','0','19','2',2000,'1','1','-6','1'
'11020393','0','0','0','0','0','0','0','32','2',8700,'1','1','-6','1'
'11020397','0','0','0','0','0','0','0','30','2',750,'1','2','-6','1'
'11020397','0','0','0','0','0','0','0','36','2',8000,'1','3','-6','1'
'11020407','0','0','0','0','0','0','0','18','1',700,'1','1','-6','1'
'11020407','0','0','0','0','0','0','0','23','1',150,'1','1','-6','1'
'11020421','0','0','0','0','0','0','0','15','1',900,'1','2','-6','1'
'11020428','0','0','0','0','0','0','0','12','2',35000,'1','3','-6','1'
'11020428','0','0','0','0','0','0','0','36','2',6000,'1','3','-6','1'
'11020430','0','0','0','0','0','0','0','14','2',0,'1','-9','-6','7'
'11020430','0','0','0','0','0','0','0','16','2',2700,'1','3','-6','3'
'11020430','0','0','0','0','0','0','0','18','2',10,'1','2','-6','1'
'11020430','0','0','0','0','0','0','0','19','2',3500,'1','3','-6','3'
'11020430','0','0','0','0','0','0','0','22','2',100,'1','3','-6','1'
'11020430','0','0','0','0','0','0','0','30','1',300,'1','1','-6','1'
'11020430','0','0','0','0','0','0','0','33','1',100,'1','3','-6','1'
'11020430','0','0','0','0','0','0','0','36','2',1300,'1','3','-6','3'
'11020432','0','0','2','0','0','0','0','22','2',720,'1','3','-6','7'
'11020432','0','0','0','0','0','0','0','29','2',1300,'1','2','-6','1'
'11020438','0','0','2','0','0','0','0','09','1',980,'2','-6','1','1'
'11020438','0','0','0','0','0','0','0','16','1',1000,'1','3','-6','1'
'11020438','0','0','0','0','0','0','0','18','1',1000,'2','-6','3','1'
'11020438','0','0','0','0','0','0','0','20','1',600,'2','-6','3','5'
'11020438','0','0','0','0','0','0','0','23','1',400,'1','2','-6','1'
'11020438','0','0','0','0','0','0','0','25','1',500,'1','3','-6','1'
'11020438','0','0','2','0','0','0','0','29','1',120,'1','3','-6','1'
'11020438','0','0','0','0','0','0','0','30','1',500,'1','3','-6','1'
'11020439','0','0','0','0','0','0','0','09','1',-9,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','16','1',10000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','17','2',3000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','18','1',4000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','19','1',500,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','20','2',2000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','21','2',2000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','22','2',400,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','23','2',3000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','25','1',1000,'1','2','-6','1'
'11020439','0','0','0','0','0','0','0','27','2',2000,'1','2','-6','1'
'11020442','0','0','0','0','0','0','0','16','2',6000,'1','3','-6','1'
'11020445','0','0','0','0','0','0','0','16','2',2000,'1','2','-6','1'
'11020446','0','0','0','0','0','0','0','19','2',5000,'1','2','-6','1'
'11020446','0','0','0','0','0','0','0','33','1',12000,'1','2','-6','1'
'11020450','0','0','0','0','0','0','0','16','2',12000,'1','1','-6','1'
'11020450','0','0','0','0','0','0','0','20','2',1200,'1','2','-6','1'
'11020452','0','0','0','0','0','0','0','16','2',4000,'1','2','-6','1'
'11020455','0','0','2','0','0','0','0','18','1',420,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','12','1',7000,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','18','1',350,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','19','1',500,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','20','1',300,'1','3','-6','1'
'11020461','0','0','0','0','0','0','0','21','2',850,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','22','1',250,'1','2','-6','1'
'11020461','0','0','0','0','0','0','0','25','1',600,'1','3','-6','1'
'11020469','0','0','0','0','0','0','0','12','1',500,'1','2','-6','1'
'11020469','0','0','0','0','0','0','0','22','1',500,'1','3','-6','1'
'11020469','0','0','0','0','0','0','0','25','2',1200,'1','3','-6','1'
'11020469','0','0','0','0','0','0','0','29','2',1400,'1','3','-6','1'
'11020470','0','0','0','0','0','0','0','33','1',300,'1','2','-6','1'
'11020473','0','0','0','0','0','0','0','16','1',3000,'1','3','-6','2'
'11020473','0','0','0','0','0','0','0','25','1',1000,'1','3','-6','2'
'11020473','0','0','0','0','0','0','0','02','1',3000,'1','3','-6','2'
'11020478','0','0','0','0','0','0','0','24','2',0,'1','2','-6','7'
'11020478','0','0','0','0','0','0','0','26','2',7000,'1','3','-6','3'
'11020478','0','0','0','0','0','0','0','27','2',0,'1','3','-6','1'
'11020487','0','0','0','0','0','0','0','29','2',1200,'1','2','-6','1'
'11020487','0','0','0','0','0','0','0','33','2',300,'1','2','-6','1'
'11020489','0','0','0','0','0','0','0','18','2',200,'1','1','-6','1'
'11020493','0','0','2','0','0','0','0','12','2',10900,'1','2','-6','1'
'11020493','0','0','2','0','0','0','0','22','2',1200,'1','2','-6','1'
'11020493','0','0','2','0','0','0','0','23','2',1900,'1','2','-6','1'
'11020493','0','0','2','0','0','0','0','26','2',3000,'1','1','-6','1'
'11020493','0','0','2','0','0','0','0','27','2',1900,'1','1','-6','1'
'11020495','0','0','0','0','0','0','0','33','1',10,'1','3','-6','1'
'11020497','0','0','0','0','0','0','0','33','2',4000,'1','2','-6','1'
'11020497','0','0','0','0','0','0','0','37','2',13200,'1','3','-6','1'
'11020512','0','0','0','0','0','0','0','29','2',600,'1','3','-6','1'
'11020512','0','0','0','0','0','0','0','30','1',150,'1','1','-6','1'
'11020512','0','0','0','0','0','0','0','31','1',2000,'1','1','-6','2'
'11020520','0','0','0','0','0','0','0','16','2',2000,'1','3','-6','1'
'11020520','0','0','0','0','0','0','0','36','2',4000,'1','1','-6','1'
'11020529','0','0','0','0','0','0','0','17','2',4000,'1','2','-6','1'
'11020529','0','0','0','0','0','0','0','18','2',0,'1','2','-6','1'
'11020529','0','0','0','0','0','0','0','22','1',300,'1','3','-6','1'
'11020529','0','0','0','0','0','0','0','30','1',1000,'1','3','-6','1'
'11020537','0','0','0','0','0','0','0','15','1',400,'2','-6','3','1'
'11020537','0','0','0','0','0','0','0','18','1',400,'1','1','-6','1'
'11020537','0','0','0','0','0','0','0','33','2',2300,'1','2','-6','1'
'11020548','0','0','0','0','0','0','0','30','2',330,'1','3','-6','5'
'11020550','0','0','0','0','0','0','0','18','2',2000,'1','3','-6','1'
'11020556','0','0','0','0','0','0','0','13','2',28000,'1','1','-6','1'
'11020556','0','0','0','0','0','0','0','18','2',6700,'1','2','-6','1'
'11020556','0','0','0','0','0','0','0','20','2',1800,'1','1','-6','1'
'11020556','0','0','2','0','0','0','0','24','2',510,'1','1','-6','1'
'11020556','0','0','0','0','0','0','0','25','2',7000,'1','1','-6','1'
'11020556','0','0','2','0','0','0','0','29','2',1300,'1','1','-6','1'
'11020556','0','0','0','0','0','0','0','32','2',10000,'1','3','-6','1'
'11020559','0','0','0','0','0','0','0','12','2',2000,'1','1','-6','1'
'11020561','0','0','0','0','0','0','0','24','2',300,'1','2','-6','1'
'11020565','0','0','0','0','0','0','0','24','2',300,'1','3','-6','1'
'11020572','0','0','0','0','0','0','0','12','1',3000,'1','2','-6','3'
'11020572','0','0','0','0','0','0','0','13','2',7000,'1','2','-6','3'
'11020572','0','0','0','0','0','0','0','18','2',8000,'1','2','-6','6'
'11020572','0','0','0','0','0','0','0','23','2',2000,'1','3','-6','6'
'11020572','0','0','0','0','0','0','0','24','2',1000,'1','2','-6','6'
'11020572','0','0','0','0','0','0','0','25','1',300,'1','2','-6','1'
'11020572','0','0','0','0','0','0','0','33','2',1000,'1','3','-6','1'
'11020572','0','0','0','0','0','0','0','35','1',150,'1','2','-6','1'
'11020572','0','0','0','0','0','0','0','36','2',300,'1','2','-6','1'
'11020572','0','0','0','0','0','0','0','37','2',300,'1','2','-6','1'
'11020576','0','0','0','0','0','0','0','24','2',0,'1','2','-6','6'
'11020582','0','0','0','0','0','0','0','16','2',2000,'1','3','-6','1'
'11020584','0','0','0','0','0','0','0','16','2',25400,'1','3','-6','1'
'11020584','0','0','0','0','0','0','0','22','2',11100,'1','2','-6','1'
'11020584','0','0','0','0','0','0','0','25','2',2000,'1','2','-6','1'
'11020586','0','0','0','0','0','0','0','12','2',25000,'1','2','-6','1'
'11020586','0','0','2','0','0','0','0','22','2',840,'1','2','-6','1'
'11020586','0','0','0','0','0','0','0','36','2',5000,'1','3','-6','1'
'11020588','0','0','0','0','0','0','0','22','2',50,'1','2','-6','1'
'11020591','0','0','0','0','0','0','0','19','2',200,'1','3','-6','1'
'11020596','0','0','0','0','0','0','0','30','2',1300,'1','2','-6','1'
'11020596','0','0','0','0','0','0','0','32','2',5000,'1','2','-6','1'
'11020600','0','0','0','0','0','0','0','14','1',58000,'1','1','-6','1'
'11020600','0','0','0','0','0','0','0','16','2',10000,'1','2','-6','1'
'11020600','0','0','0','0','0','0','0','22','2',700,'1','2','-6','1'
'11020600','0','0','0','0','0','0','0','33','1',200,'1','3','-6','1'
'11020600','0','0','0','0','0','0','0','35','2',3000,'1','2','-6','1'
'11020615','0','0','0','0','0','0','0','26','1',10000,'1','3','-6','7'
'11020621','0','0','0','0','0','0','0','18','2',1800,'1','2','-6','1'
'11020622','0','0','2','0','0','0','0','29','2',1600,'1','3','-6','1'
'11020622','0','0','0','0','0','0','0','32','2',9000,'1','1','-6','1'
'11020622','0','0','0','0','0','0','0','33','2',500,'1','3','-6','1'
'11020628','0','0','0','0','0','0','0','33','1',1200,'1','3','-6','1'
'11020628','0','0','0','0','0','0','0','35','1',850,'1','1','-6','1'
'11020630','0','0','0','0','0','0','0','29','1',420,'1','3','-6','1'
'11020633','0','0','0','0','0','0','0','29','2',1300,'1','2','-6','1'
'11020639','0','0','0','0','0','0','0','30','1',400,'1','3','-6','1'
'11020640','0','0','0','0','0','0','0','18','2',1500,'1','2','-6','1'
'11020640','0','0','0','0','0','0','0','25','2',2000,'1','3','-6','1'
'11020640','0','0','0','0','0','0','0','30','2',1000,'1','3','-6','1'
'11020642','0','0','0','0','0','0','0','12','2',20000,'1','2','-6','1'
'11020645','0','0','0','0','0','0','0','12','2',5000,'1','1','-6','1'
'11020649','0','0','2','0','0','0','0','15','2',4600,'1','2','-6','-9'
'11020649','0','0','2','0','0','0','0','25','2',2800,'1','2','-6','-9'
'11020649','0','0','2','0','0','0','0','30','2',460,'1','2','-6','-9'
'11020649','0','0','2','0','0','0','0','34','2',30700,'1','2','-6','-9'
'11020650','0','0','0','0','0','0','0','18','2',500,'1','1','-6','1'
'11020651','0','0','0','0','0','0','0','26','2',6000,'1','2','-6','1'
'11020651','0','0','0','0','0','0','0','27','2',6000,'1','2','-6','1'
'11020654','0','0','0','0','0','0','0','16','2',10000,'1','1','-6','1'
'11020663','0','0','0','0','0','0','0','22','2',500,'1','2','-6','1'
'11020667','0','0','0','0','0','0','0','25','2',10000,'1','2','-6','1'
'11020667','0','0','0','0','0','0','0','33','2',1000,'1','3','-6','1'
'11020671','0','0','0','0','0','0','0','26','2',3800,'1','2','-6','1'
'11020672','0','0','2','0','0','0','0','35','2',3600,'1','2','-6','1'
'11020677','0','0','0','0','0','0','0','16','2',4000,'1','2','-6','3'
'11020677','0','0','0','0','0','0','0','19','2',9500,'1','2','-6','3'
'11020677','0','0','0','0','0','0','0','25','2',80,'1','3','-6','1'
'11020677','0','0','0','0','0','0','0','33','2',4300,'1','3','-6','7'
'11020678','0','0','0','0','0','0','0','22','1',1500,'2','-6','3','1'
'11020678','0','0','0','0','0','0','0','23','2',600,'1','3','-6','1'
'11020678','0','0','0','0','0','0','0','25','1',4900,'1','2','-6','1'
